abas
abāziete
abāzs
abcug
ābecniece
ābečniece
abējādi
abesīniete
abesīnietis
abesīnis
abhāziete
abhāzietis
abhāzs
abinieks
abituriente
abolicioniste
abonente
aborigēns
abortmaher
abpusēji
abpusīgi
abrazīvs
abrocīgi
absolūti
absolūtiste
absolvente
abstrakcioniste
abstrakti
absurdi
āc
acīgi
acīmredzami
acoti
actekiete
acteks
aculieciniece
acumirklīgi
acuplakstiņš
ād
adekvāti
adenoīds
ādgrauzis
adigejiete
adigejietis
āding
administratīvi
administratore
administrētāja
adresante
adresāte
adventiste
advokāte
adžāriete
adžārs
aeroloģe
aeronaute
afektēti
afektīvi
afēriste
afēristiski
afgāniete
afgānis
aforistiski
afrikandiete
afrikands
afrikāniete
afrikānietis
afrikānis
afroamerikāniete
āgenskalnietis
agnāts
agnostiķe
agresīvi
agresore
agri
agrīgi
agroķīmiski
agrometeoroloģiski
agronome
agronomiski
agrotehniķe
agrotehniski
aģente
aģitatore
aha
ahajiete
ahajs
ahūni
ainaviski
ainaviste
airētāja
airkājis
airkājvēzis
aitkope
aitkopēja
aitvars
aizbildne
aizbildnieciski
aizbilstamā
aizbraucēja
aizdevēja
aizdomīgi
aizezerietis
aizgādīgi
aizgādne
aizgādnieciski
aizgājēja
aizkars
aizklāti
aizkrācietis
aizmāršīgi
aizmiģele
aizmuguriski
aizmūžīgi
aizņēmēja
aizplīvuroti
aizpurviete
aizraujoši
aizrautīgi
aizrunātāja
aizsācēja
aizsardze
aizsardzībniece
aizsargcimds
aizsargstabiņš
aizspriedumaini
aizstājēja
aizstājējprodukts
aizstāvamā
aizstāve
aizturētā
aizturētāja
aizturēti
aizupiete
aizupnieks
aizvestā
aizvēsturiski
aizvietotāja
aizvirtnis
aizzīmētāja
ajants
ājurvēdiski
akadēmiķe
akadēmiski
akarīda
akarīdērce
akcionāre
akinēts
akli
akļi
akmeiste
akmenskorallis
akmensmateriāls
akmeņogle
akordeoniste
akordstrādniece
akotmats
akrobāte
akrobātiski
akselbante
ākstīgi
aktieriski
aktinīds
aktinoīds
aktinomicēte
aktinomicēti
aktinomicēts
aktīviste
aktivizētāja
aktrise
aktuāli
akurāti
akustiķe
akustiski
akušiere
akūti
akvalangiste
akvanaute
akvareliste
akvareļkrāsa
akvitators
āķīgi
āķveidīgi
albāniete
albānis
alberīgi
albiģiete
albīne
alcēja
aldare
aldehīds
aldīna
aldoze
alegoriski
alēle
alergoloģe
alerģiski
aleutiete
aleuts
alfabētiski
algādze
algebriski
algoloģe
algoritmiski
alise
alkaini
alkani
alkāns
alkataini
alkatīgi
alkoholiķe
aloģiski
alohors
alpīniste
altajiete
altajietis
alternatīvi
altiste
altruiste
altruistiski
alumināts
alumosilikāts
alžīriete
alžīrietis
aļģsēne
amatiere
amatniece
amatnieciski
ambīcija
ambiciozi
ambontimorietis
ambulatori
ambulatoriski
amerikāniete
amerikānis
amerikāniski
amfibolīts
amfibols
amfisbēnveidīgais
amfolīts
amhariete
amhars
amīds
amilspirts
aminoplasts
aminoskābe
aminospirts
amizanti
amniots
amonīts
amorāli
anaerobi
analfabēte
analfabētiski
analītiķe
analītiski
analogi
analoģiski
anamnijs
anarhiski
anarhiste
anarhistiski
anatome
anatomiski
andoriete
andorietis
androgēns
anekdotiski
aneksionistiski
anestezioloģe
angiosperma
angiostoma
angirass
angliete
anglikāniete
anglis
angliski
anglokanādiete
anglokanādietis
anglosaksis
angoliete
angolietis
anilīnkrāsa
animāliste
animālistiski
animatore
animiste
annāliste
annālists
anonīmi
anormāli
anortozīts
anštendīgi
antagoniski
antagonistiski
antiamerikāniski
antibarions
antibiotika
antibiotiķis
antidemokrātiski
antidepresants
antifašiste
antifašistiski
antiglobāliste
antihigiēniski
antihiperons
antihitleriski
antihumāni
antihumānistiski
antiimperiālistiski
antikoloniāli
antikomuniste
antikomunistiski
antikonstitucionāli
antikvāre
antikvitāte
antiļeņiniski
antimarksistiski
antimateriālistiski
antimilitāri
antimilitāriste
antimonarhistiski
antinuklons
antipartejiski
antipasāts
antipātiski
antipirēns
antiproletāriski
antireliģiski
antisanitāri
antisemīte
antisemītiski
antiseptiski
antizinātniski
antocerota
antociāns
antonīms
antropoloģe
antropoloģiski
antroponoze
antropozoonoze
apakšīrniece
apakšniece
apakšnomniece
apakšzāle
apaliski
apaļi
apaļīgi
apaļiski
apaļmute
apaļmutnieks
apartaments
apātiski
apavniece
apavs
apcerīgi
apcietinātā
apdomāti
apdomīgi
apdrošinātāja
apdziedātāja
apdzīvotāja
apellēt
apgādājamā
apgādātāja
apgādniece
apgaismotāja
apgaitniece
apgaroti
apgrēcīgi
apgriezeniski
apgriezti
apkalpotāja
apkārtstaigule
apkaunojoši
apkopēja
apķērīgi
aplame
aplamniece
aplauzēja
apliecinātāja
apliecinoši
aplinku
apļveidīgi
apmācāmā
apmeklētāja
apmetēja
apmierināti
apmierinoši
apmiglotāja
apnicīgi
apņēmīgi
apokaliptiski
apolitiski
apoloģiski
apoloniski
aposteriori
apputekšņoties
apputinātāja
aprakstniece
aprakstveidīgi
aprēķinātāja
aprets
apriori
aprobežoti
aprūpējamā
apsaimniekotāja
apsargātāja
apsega
apsēklātāja
apskaņojums
apskatniece
